Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /Users,51,0,800.0,837.0699647028803,242.15279996860772,1962.3666999978013,836.0,0.8821733201540268,0.0,800,970,1100,1100,1500,1700,1900,2000,2000,2000,2000
GET,GET /Users/signin/{auth0UserId},62,0,760.0,813.2545870950355,247.6768999476917,1789.9096999899484,842.0,1.0724459970499933,0.0,780,1000,1100,1200,1400,1700,1700,1800,1800,1800,1800
,Aggregated,113,0,790.0,824.0031203516734,242.15279996860772,1962.3666999978013,839.29203539823,1.9546193172040203,0.0,790,980,1100,1200,1500,1700,1800,1900,2000,2000,2000
